pH;Dureza;Sólidos;Cloraminas;Sulfatos;Conductividad;Carbono_orgánico;Trihalometanos;Turbidez;Potabilidad
;204.89;20791.32;7.3;368.52;564.31;10.38;86.99;2.96;NO
3.72;129.42;18630.06;6.64;;592.89;15.18;56.33;4.5;NO
8.1;224.24;19909.54;9.28;;418.61;16.87;66.42;3.06;NO
8.32;214.37;22018.42;8.06;356.89;363.27;18.44;100.34;4.63;NO
9.09;181.1;17978.99;6.55;310.14;398.41;11.56;32;4.08;NO
5.58;188.31;28748.69;7.54;326.68;280.47;8.4;54.92;2.56;NO
10.22;248.07;28749.72;7.51;393.66;283.65;13.79;84.6;2.67;NO
8.64;203.36;13672.09;4.56;303.31;474.61;12.36;62.8;4.4;NO
;118.99;14285.58;7.8;268.65;389.38;12.71;53.93;3.6;NO
11.18;227.23;25484.51;9.08;404.04;563.89;17.93;71.98;4.37;NO
7.36;165.52;32452.61;7.55;326.62;425.38;15.59;78.74;3.66;NO
7.97;218.69;18767.66;8.11;;364.1;14.53;76.49;4.01;NO
7.12;156.7;18730.81;3.61;282.34;347.72;15.93;79.5;3.45;NO
;150.17;27331.36;6.84;299.42;379.76;19.37;76.51;4.41;NO
7.5;205.34;28388;5.07;;444.65;13.23;70.3;4.78;NO
6.35;186.73;41065.23;9.63;364.49;516.74;11.54;75.07;4.38;NO
7.05;211.05;30980.6;10.09;;315.14;20.4;56.65;4.27;NO
9.18;273.81;24041.33;6.9;398.35;477.97;13.39;71.46;4.5;NO
8.98;279.36;19460.4;6.2;;431.44;12.89;63.82;2.44;NO
7.37;214.5;25630.32;4.43;335.75;469.91;12.51;62.8;2.56;NO
;227.44;22305.57;10.33;;554.82;16.33;45.38;4.13;NO
6.66;168.28;30944.36;5.86;310.93;523.67;17.88;77.04;3.75;NO
;215.98;17107.22;5.61;326.94;436.26;14.19;59.86;5.46;NO
3.9;196.9;21167.5;7;;444.48;16.61;90.18;4.53;NO
5.4;140.74;17266.59;10.06;328.36;472.87;11.26;56.93;4.82;NO
6.51;198.77;21218.7;8.67;323.6;413.29;14.9;79.85;5.2;NO
3.45;207.93;33424.77;8.78;384.01;441.79;13.81;30.28;4.18;NO
;145.77;13224.94;7.91;304;298.99;12.73;49.54;4;NO
;266.42;26362.97;7.7;395.39;364.48;10.35;53.01;3.99;NO
;148.15;15193.41;9.05;307.01;563.8;16.57;52.68;6.04;NO
7.18;209.63;15196.23;5.99;338.34;342.11;7.92;71.54;5.09;NO
9.83;190.76;19677.89;6.76;;452.84;16.9;47.08;2.86;NO
10.43;117.79;22326.89;8.16;307.71;412.99;12.89;65.73;5.06;NO
7.41;235.04;32555.85;6.85;387.18;411.98;10.24;44.49;3.16;NO
;232.28;14787.21;5.47;;383.98;12.17;86.08;5.03;NO
5.12;191.95;19620.55;6.06;323.84;441.75;10.97;49.24;3.9;NO
3.64;183.91;24752.07;5.54;286.06;456.86;9.03;73.59;3.46;NO
5.62;304.24;17281.98;6.1;;399.47;12.27;81.59;2.9;NO
;143.45;19942.27;5.89;;427.13;22.47;53.12;2.91;NO
9.27;198.61;24683.72;6.11;328.08;396.88;16.47;30.38;4.32;NO
;233.86;11703.92;4.6;309.04;349.4;18.34;42.68;3.51;NO
5.33;194.87;16658.88;7.99;316.68;335.12;10.18;59.57;4.43;NO
7.15;238.69;28780.34;6.81;385.98;332.03;11.09;66.14;5.18;NO
9.92;202.82;9973.93;6.88;337.35;333.19;23.92;71.83;4.69;NO
4.76;183.35;21568.43;4.73;;403.94;18.67;66.91;4.54;NO
5.7;216.85;35606.44;7.18;;504.64;16.14;77.54;4.14;NO
6.95;209.64;10575.19;4.46;315.61;391.18;13.29;87.39;3.2;NO
10.68;173.38;15758.74;5.57;307.35;323.81;10.09;78.47;4;NO
;129.89;34415.85;6.32;304.54;470.33;18.6;72.4;4.41;NO
8.76;200.19;21536.22;4.92;317.88;404.72;13.77;47.93;3.63;NO
;168.39;27492.31;7.05;299.82;383.8;16.18;75.73;3.05;NO
7.81;100.46;12013.55;5.21;247.2;605.22;9.61;66.08;2.45;NO
6.65;145.01;19871.79;4.96;288.05;545.97;10.94;71.73;3.74;NO
9.15;211.71;11920.61;7.23;339.75;527.71;18.28;47.63;3.79;NO
10.56;181.89;21783.65;6.99;340.39;456.56;16.48;34.25;3.96;NO
7.48;260.09;30616.62;9.38;;404.67;15.93;66.62;4.78;NO
8.52;238.34;28779.65;8.28;381.65;481.32;6.02;39.09;3.94;NO
5;190.29;24323.87;7.23;324.89;405.33;8.24;99.43;4.46;NO
;157.8;16963.63;8.34;300.04;361;12.82;71.72;4.41;NO
;155.06;20557.24;8.19;;290.18;16.62;59.62;4.09;NO
3.91;233.4;32144.8;6.99;348.36;269.45;9.65;63.74;3.9;NO
6.39;213.02;20965.48;5.38;327.65;369.34;13.76;17.92;3.92;NO
;229.49;35729.69;8.81;384.94;296.4;16.93;;3.86;NO
8.69;195.14;24656.24;8.23;;398.35;12.38;48.44;4.48;NO
8.09;127.74;32653.91;6.53;;416.24;11.12;78.28;4.07;NO
6.2;212.31;21815.07;7.87;;362.11;14.93;63.87;5.22;NO
5.06;238.57;34873.93;8.98;374.43;669.73;13.35;76.52;5.11;NO
;103.46;27420.17;8.42;;485.97;11.35;67.87;4.62;NO
